	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
181	张明雪教授“心胆同治”法治疗稳定型心绞痛的用药规律及网络药理学研究	段英锴	辽宁中医药大学	硕士	2024		52	原版阅读      CNKI AI阅读
182	胃脘痛的用药规律研究及消痈溃得康对消化性溃疡大鼠NLRP3/Caspase-1通路的影响	王鑫宇	辽宁中医药大学	硕士	2024		44	原版阅读      CNKI AI阅读
183	清肠降浊方治疗大肠湿热型UC的回顾性分析及网络药理学研究	王婧	辽宁中医药大学	硕士	2024		123	原版阅读      CNKI AI阅读
184	基于“辛开苦降”理论探讨黄连干姜汤对溃疡性结肠炎（寒热错杂型）的疗效及机制分析	周浩忠	江西中医药大学	硕士	2024		154	原版阅读      CNKI AI阅读
185	基于数据挖掘探讨张小萍教授治疗慢性萎缩性胃炎的用药规律	付静雯	江西中医药大学	硕士	2024		145	原版阅读      CNKI AI阅读
186	基于名老中医医案的慢性萎缩性胃炎态靶辨治研究	汪士裕	江西中医药大学	硕士	2024		66	原版阅读      CNKI AI阅读
187	基于“中气升降”理论观察下气汤联合黄连膏治疗脾虚湿蕴证湿疮的疗效	辛俏	江西中医药大学	硕士	2024		71	原版阅读      CNKI AI阅读
188	三黄散中药倒模治疗中度痤疮的临床观察及网络药理学分析研究	黄李婷	江西中医药大学	硕士	2024		125	原版阅读      CNKI AI阅读
189	基于数据挖掘方法探讨何晓晖教授辨治消化性溃疡方剂配伍规律	王朝嘉	江西中医药大学	硕士	2024		103	原版阅读      CNKI AI阅读
190	庐陵医家食养食疗研究	杨瑞霞	江西中医药大学	硕士	2024		97	原版阅读      CNKI AI阅读
191	基于数据挖掘方法探讨周茂福教授治疗汗证经验	杨德君	江西中医药大学	硕士	2024		33	原版阅读      CNKI AI阅读
192	基于网络药理学-分子对接技术探究乌梅丸“异病同治”溃疡性结肠炎和肠易激综合征作用机制	章钰川	江西中医药大学	硕士	2024		93	原版阅读      CNKI AI阅读
193	复方葛根汤减方抗乳腺癌分子作用机制研究	徐恩惠	江西中医药大学	硕士	2024		105	原版阅读      CNKI AI阅读
194	黄连提取物小檗碱增强肠干细胞功能促进放射性肠炎再生修复的作用及机制研究	屠思雨	成都中医药大学	硕士	2024		210	原版阅读      CNKI AI阅读
195	基于铁代谢途径研究黄连解毒汤干预帕金森病小鼠模型的作用机制	常文	成都中医药大学	硕士	2024		87	原版阅读      CNKI AI阅读
196	基于黄连素白光LED用发光材料的制备及性能研究	管冷	聊城大学	硕士	2024		31	原版阅读      CNKI AI阅读
197	胃黏膜萎缩的转归和胃黏膜癌变逆转的研究	亚夏尔·热扎依丁	北京协和医学院	硕士	2024		19	原版阅读      CNKI AI阅读
198	黄连素对脂多糖诱导心肌细胞焦亡的影响	武袁梦	内蒙古医科大学	硕士	2024		59	原版阅读      CNKI AI阅读
199	大黄黄连泻心汤通过干扰miR-320表达调控PI3K/AKT信号通路改善HepG2细胞胰岛素抵抗的研究	邓群	内蒙古医科大学	硕士	2024		46	原版阅读      CNKI AI阅读
200	银花抗病毒口服液的物质基础和质量控制研究	谭金桃	湖南中医药大学	硕士	2024		114	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
201	抗痤疮致病菌中药配方的筛选，及其制剂成型工艺与活性研究	宋卫强	川北医学院	硕士	2024		105	原版阅读      CNKI AI阅读
202	黄连乡煤矿急倾斜煤层伪斜开采裂隙演化特征及采空区瓦斯治理研究	刘黎明	中国矿业大学	硕士	2024		79	原版阅读      CNKI AI阅读
203	梅花针联合黄连喷剂治疗头皮寻常型银屑病的临床疗效研究	杨兴燕	成都中医药大学	硕士	2024		55	原版阅读      CNKI AI阅读
204	基于数据挖掘探讨王强主任治疗胃癌的用药经验及学术思想	刘艺	天津中医药大学	硕士	2024		38	原版阅读      CNKI AI阅读
205	千金黄连方药效物质基础探索及质量评价研究	陈子聿	天津中医药大学	硕士	2024		109	原版阅读      CNKI AI阅读
206	基于六经气化学说探讨王强主任治疗功能性便秘的用药规律	仲斯琪	天津中医药大学	硕士	2024		23	原版阅读      CNKI AI阅读
207	加味黄连-5味散尼如哈疗法对放射性肠炎大鼠的肠黏膜保护作用及相关蛋白的影响	潘其力木格	内蒙古医科大学	硕士	2024		36	原版阅读      CNKI AI阅读
208	黄连人参对药调节Apelin治疗非酒精性脂肪肝的机制研究	郭豫瑾	华中科技大学	硕士	2024		91	原版阅读      CNKI AI阅读
209	叶天士脾胃分治理论的用药规律研究	吕钒	江西中医药大学	硕士	2024		83	原版阅读      CNKI AI阅读
210	基于名老中医医案的失眠态靶辨治研究	袁清文	江西中医药大学	硕士	2024		70	原版阅读      CNKI AI阅读
211	滋阴法治疗阴虚型失眠的有效性评价及中药复方用药规律探析	刘鑫雨	北京中医药大学	硕士	2024		20	原版阅读      CNKI AI阅读
212	基于六经四维辨证框架的脾胃病证治分类研究	叶祯	江西中医药大学	硕士	2024		35	原版阅读      CNKI AI阅读
213	基于小胶质细胞氧化应激探讨交泰丸干预失眠的作用机制	区浩松	北京中医药大学	硕士	2024		48	原版阅读      CNKI AI阅读
214	紫芨连柏止痛方治疗肿瘤相关手足皮肤不良反应的临床研究	张梦凡	北京中医药大学	硕士	2024		39	原版阅读      CNKI AI阅读
215	基于真实世界仝小林教授临床应用大黄经验总结及安全性分析	谢伟楠	北京中医药大学	硕士	2024		34	原版阅读      CNKI AI阅读
216	王凤云教授从脾论治CAG经验挖掘与健脾理气活血法的疗效机制研究	余文熙	北京中医药大学	硕士	2024		16	原版阅读      CNKI AI阅读
217	孟河丁派丁甘仁、秦伯未和杜怀棠辨治脾胃病学术思想的对比研究	付阳茜	北京中医药大学	硕士	2024		27	原版阅读      CNKI AI阅读
218	幽门螺杆菌感染中医证治规律研究	刘扬	北京中医药大学	硕士	2024		26	原版阅读      CNKI AI阅读
219	黄连温胆汤加味治疗脾胃湿热型痤疮的疗效观察及对睡眠质量的影响	廖晨希	云南中医药大学	硕士	2024		10	原版阅读      CNKI AI阅读
220	钟氏外洗方联合盐酸黄连素油治疗亚急性湿热浸淫证肛周湿疹临床疗效研究	李兰青	云南中医药大学	硕士	2024		13	原版阅读      CNKI AI阅读
221	基于复杂网络分析方法2型糖尿病中医诊疗方案优化	李雨倩	北京中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
222	赵绍琴先生治疗脾胃病用药规律与特点研究	高玉玺	云南中医药大学	硕士	2024		16	原版阅读      CNKI AI阅读
223	《蒙医秘诀方海》记载治疗自因疮疡类疾病的文献研究	白领兄	内蒙古医科大学	硕士	2024		71	原版阅读      CNKI AI阅读
224	基于引经报使理论的《本草纲目》中24味引经药特点研究	张帅	河北大学	硕士	2024	1	646	原版阅读      CNKI AI阅读
225	拮抗细菌与植物源提取物复配防治马尾松枯梢病研究	牛安琪	中南林业科技大学	硕士	2024		229	原版阅读      CNKI AI阅读
226	基于中华医典对古代医家治疗认知障碍的组方配伍研究	杜杭帅	黑龙江中医药大学	硕士	2024		200	原版阅读      CNKI AI阅读
227	复合中草药对中华绒螯蟹生长、肝肠健康和品质的影响研究	邹芳	扬州大学	硕士	2024		276	原版阅读      CNKI AI阅读
228	加味三黄泻心汤微乳凝胶的制备及对痤疮的作用研究	梁进京	吉林农业大学	硕士	2024		332	原版阅读      CNKI AI阅读
229	基于苦味受体初步探讨黄连“苦寒伤胃”的机制	吴志钟彬	西南大学	硕士	2024		222	原版阅读      CNKI AI阅读
230	黄连CoOMT基因的克隆与功能研究	肖红玉	西南大学	硕士	2024		62	原版阅读      CNKI AI阅读
231	光质及SOMT基因编辑对黄连表小檗碱和黄连碱积累的研究	王瑞康	西南大学	硕士	2024		62	原版阅读      CNKI AI阅读
232	中药复方乌连柏制剂的研制及其对副猪嗜血杆菌病的预防作用研究	庞博	沈阳农业大学	硕士	2024		43	原版阅读      CNKI AI阅读
233	熊宗立整理医籍研究	林名垚	北京中医药大学	博士	2024		31	原版阅读      CNKI AI阅读
234	黄芩、黄连、黄柏治疗不同病、证的配伍规律研究	曲鹏达	云南中医药大学	博士	2024		124	原版阅读      CNKI AI阅读
235	NAT10通过调控CCL2影响肝内胆管癌增殖和巨噬细胞M2型极化	蔡腾	兰州大学	博士	2024		234	原版阅读      CNKI AI阅读
236	陈士铎“水火理论”相关方剂的组方过程研究	张钟艺	成都中医药大学	硕士	2024		70	原版阅读      CNKI AI阅读
237	酿酒酵母SFH1和HEM4的功能及其参与的BBR耐药机制研究	刘瑶	东华大学	硕士	2024		26	原版阅读      CNKI AI阅读
238	兼具优良口感与易吞性的黄连口服凝胶的制备、表征与评价研究	卢泰	成都中医药大学	硕士	2024		127	原版阅读      CNKI AI阅读
239	基于深度学习的中枢神经靶点中药成分筛选系统及对胆碱酯酶的应用	潘福璐	北京中医药大学	硕士	2024		38	原版阅读      CNKI AI阅读
240	葛根芩连汤加减联合常规西药治疗2型糖尿病（湿热证）临床疗效的Meta分析	景秀玲	黑龙江中医药大学	硕士	2024		169	原版阅读      CNKI AI阅读
241	基于数据挖掘的张效科教授运用桑属植物治疗2型糖尿病及并发症经验整理	崔丹梅	陕西中医药大学	硕士	2024		103	原版阅读      CNKI AI阅读
242	香连溶液抗大口黑鲈嗜水气单胞菌效果评价及其活性成分分析	刘志昊	吉林农业大学	硕士	2024		124	原版阅读      CNKI AI阅读
243	基于黄檗基因组的苄基异喹啉生物碱生物合成关键酶的筛选及功能研究	张琬然	东北林业大学	硕士	2024		208	原版阅读      CNKI AI阅读
244	四川省常见木本油料作物微型子囊菌分类与系统发育研究	李文丽	电子科技大学	博士	2024		272	原版阅读      CNKI AI阅读
245	银纳米粒的绿色合成及其抗菌性能研究	冯静	重庆理工大学	硕士	2024		247	原版阅读      CNKI AI阅读
246	基于数据挖掘探讨吴门医派学术经验继承人董宏利治疗失眠的用药规律及临床经验	糜星怡	南京中医药大学	硕士	2024		316	原版阅读      CNKI AI阅读
247	三黄温胆汤治疗超重/肥胖合并2型糖尿病痰湿热结证的临床观察	许徐秀生	南京中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
248	基于数据挖掘技术研究王旭教授治疗糖尿病周围神经病变的用药规律	HOANG THI THANH（黄氏清）	南京中医药大学	硕士	2024		15	原版阅读      CNKI AI阅读
249	鄂西森林生态质量样地种子植物区系及主要森林群落特征研究	胡毅峰	湖北大学	硕士	2024		83	原版阅读      CNKI AI阅读
250	黄连解毒汤促进脂肪产热改善肥胖的机制研究	徐平圆	南京中医药大学	博士	2024		72	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
251	基于苦味受体/热敏受体探讨左金丸治疗胃食管反流病的分子机制	崔国良	南京中医药大学	博士	2024		558	原版阅读      CNKI AI阅读
252	仙鹤草-黄连药对通过调控分子伴侣介导自噬抑制结直肠癌的作用机制研究	何亚萍	南京中医药大学	硕士	2024		21	原版阅读      CNKI AI阅读
253	黄连温胆汤加减治疗脾胃湿热证慢性萎缩性胃炎伴失眠的临床研究	阮晓宇	南京中医药大学	硕士	2024		34	原版阅读      CNKI AI阅读
254	仙鹤草-黄连药对防治结直肠炎癌转化的药效及机制研究	侯敏艳	南京中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
255	周仲瑛教授脏腑同治学术思想研究——从肝胃不和病机辨治胃食管反流病经验探析	周崇怡	南京中医药大学	硕士	2024		21	原版阅读      CNKI AI阅读
256	六味地黄汤合交泰汤加味治疗更年期失眠心肾不交证的临床疗效及其提取物对5-HT和BDNF水平影响的研究	TANTASATITYANON SINEE（陈星河）	南京中医药大学	博士	2024		63	原版阅读      CNKI AI阅读
257	中医郁病理论及其在消化心身疾病中的临床运用研究	李煜	南京中医药大学	博士	2024	3	1246	原版阅读      CNKI AI阅读
258	常用经方对小鼠非酒精性脂肪肝保护作用的对比研究	沈赟	南京中医药大学	硕士	2024		466	原版阅读      CNKI AI阅读
259	加味黄连温胆汤治疗重症肺炎（痰热壅肺证）患者的临床研究	王迪	南京中医药大学	硕士	2024	1	333	原版阅读      CNKI AI阅读
260	加味黄连温胆汤治疗餐后不适综合征脾胃湿热证的临床疗效观察及其对IL-6的影响	臧圣凯	南京中医药大学	硕士	2024		77	原版阅读      CNKI AI阅读
261	基于TAS2R38-MC-TRPV1信号轴探讨左金丸治疗胃食管反流病内脏高敏机制	孫建羽	南京中医药大学	博士	2024		503	原版阅读      CNKI AI阅读
262	加味白头翁汤灌肠治疗溃疡性结肠炎的临床疗效总结及其保护肠上皮屏障的机制研究	吴婷婷	南京中医药大学	博士	2024		551	原版阅读      CNKI AI阅读
263	基于数据挖掘探究金实教授以金钱草-郁金药对为基础的临床应用及用药配伍规律	任凤	南京中医药大学	硕士	2024		39	原版阅读      CNKI AI阅读
264	基于数据挖掘总结陆为民治疗腹泻型肠易激综合征的经验及核心处方的网络药理学研究	姜琳	南京中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
265	清热解毒法治疗AD的Meta分析及清热解毒中药（黄连）对秀丽线虫氧化应激的影响	龙媛媛	南京中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
266	基于中医传承辅助平台分析张钟爱教授治疗失眠用药规律	卢梦娇	南京中医药大学	硕士	2024		728	原版阅读      CNKI AI阅读
267	《古今医鉴》版本校勘及学术特色研究	朱克	辽宁中医药大学	博士	2024		67	原版阅读      CNKI AI阅读
268	徐春甫香连丸通过PI3K/Akt/mTOR轴缓解DSS诱导的结肠炎	卜庆如	安徽中医药大学	硕士	2024		113	原版阅读      CNKI AI阅读
269	黄连提取物通过gC1qR-EGFR/ERK/c-Fos轴诱导口腔上皮细胞内吞作用来缓解口咽念珠菌病	鲍孟媛	安徽中医药大学	硕士	2024		112	原版阅读      CNKI AI阅读
270	基于数据挖掘及网络药理学探讨王乐匋教授治疗肝胃不和型慢性萎缩性胃炎的临床疗效及作用机制	胡子朝	安徽中医药大学	硕士	2024		159	原版阅读      CNKI AI阅读
271	民国新安医家程六如学术思想与临证经验研究	姚祥	安徽中医药大学	硕士	2024		72	原版阅读      CNKI AI阅读
